Sample,Baseline-11,OutsideFarm-2,Baseline-8,TxAntibiotic-2,Baseline-26,OutsideFarm-9,Baseline-25,Baseline-29,Baseline-10,Baseline-27,Baseline-13,OutsideFarm-12,OutsideFarm-6,TxAntibiotic-12,Baseline-7,Baseline-31,TxAntibiotic-5,TxAntibiotic-8,Baseline-6,Baseline-33,TxAntibiotic-11,Baseline-19,TxAntibiotic-6,Baseline-23,Baseline-30,TxAntibiotic-7,Baseline-24,Baseline-15,TxAntibiotic-9,Baseline-14,Baseline-1,Baseline-17,TxAntibiotic-3,OutsideFarm-4,Baseline-22,Baseline-9,Baseline-2,Baseline-5,Baseline-16,Baseline-20,Baseline-21,TxAntibiotic-4,OutsideFarm-13,Baseline-32,OutsideFarm-11,TxAntibiotic-1,OutsideFarm-3,OutsideFarm-7,Baseline-12,Baseline-18,OutsideFarm-10,TxAntibiotic-10,OutsideFarm-5,Baseline-28,OutsideFarm-1,Baseline-4,OutsideFarm-8,Baseline-3
OutsideFarm-11,0.3559,0.4213,0.5388,0.42075,0.41925,0.59315,0.4226,0.4969,0.3549,0.3551,0.49235,0.412,0.3825,0.3773,0.39235,0.49195,0.38295,0.42695,0.45435,0.44305,0.5763,0.4505,0.43915,0.4639,0.36855,0.567,0.41025,0.39285,0.53625,0.3682,0.33015,0.4003,0.4209,0.3195,0.3812,0.27595,0.36755,0.23805,0.5264,0.41875,0.5415,0.492,0.575,0.42785,0,0.40155,0.4312,0.49275,0.40225,0.426,0.35255,0.6752,0.3832,0.4292,0.34575,0.5918,0.3129,0.39135
TxAntibiotic-1,0.3197,0.25955,0.4942,0.27545,0.42685,0.53745,0.35715,0.4496,0.229,0.3787,0.4616,0.457,0.3073,0.3813,0.263,0.49595,0.30915,0.5597,0.3838,0.49125,0.6183,0.33605,0.3547,0.40885,0.43245,0.46005,0.46165,0.3169,0.5142,0.3963,0.2555,0.3535,0.18315,0.31715,0.26585,0.3973,0.26515,0.30975,0.4928,0.3743,0.5622,0.3692,0.53215,0.38565,0.40155,0,0.3366,0.5053,0.28145,0.3445,0.2785,0.5737,0.324,0.51275,0.35125,0.47215,0.3586,0.3766
OutsideFarm-3,0.34235,0.3819,0.3934,0.3484,0.4103,0.56365,0.51245,0.4362,0.3427,0.4716,0.434,0.4299,0.3056,0.4906,0.37205,0.5421,0.2909,0.41655,0.43515,0.4877,0.62895,0.46075,0.41385,0.45795,0.46195,0.5815,0.5081,0.49925,0.5707,0.439,0.394,0.458,0.30445,0.2807,0.3396,0.3357,0.30545,0.32105,0.46035,0.4002,0.61565,0.3867,0.5308,0.50965,0.4312,0.3366,0,0.44385,0.33545,0.3552,0.3278,0.64085,0.4415,0.5132,0.33285,0.4889,0.42565,0.4047
OutsideFarm-7,0.5009,0.48645,0.5717,0.45585,0.5404,0.65075,0.5204,0.55075,0.4732,0.47635,0.55055,0.49575,0.5316,0.5102,0.48595,0.5487,0.5131,0.41065,0.5118,0.4997,0.6449,0.4569,0.52475,0.4731,0.55745,0.4746,0.4953,0.5557,0.6441,0.4605,0.54705,0.43835,0.46565,0.4454,0.4561,0.45025,0.47845,0.4554,0.55435,0.5445,0.56925,0.5357,0.6153,0.564,0.49275,0.5053,0.44385,0,0.49475,0.45775,0.4994,0.5448,0.53605,0.5403,0.49515,0.6216,0.55965,0.4533
Baseline-12,0.2646,0.266,0.37475,0.25245,0.45045,0.4616,0.37835,0.4073,0.27665,0.3906,0.4147,0.3199,0.3119,0.36825,0.233,0.5018,0.22805,0.43515,0.3368,0.45485,0.5325,0.3433,0.38715,0.3795,0.4714,0.60005,0.36515,0.3925,0.45045,0.40505,0.1981,0.45855,0.2782,0.2784,0.2202,0.3168,0.2325,0.2394,0.3774,0.33395,0.5558,0.3986,0.5716,0.41235,0.40225,0.28145,0.33545,0.49475,0,0.2709,0.2539,0.55595,0.3739,0.4621,0.3514,0.4056,0.3941,0.2958
Baseline-18,0.36225,0.3733,0.46595,0.3166,0.48395,0.59625,0.35745,0.43325,0.3563,0.40935,0.5552,0.3558,0.33425,0.38295,0.3376,0.46365,0.32925,0.3975,0.39435,0.4947,0.5497,0.2673,0.33575,0.3987,0.46165,0.56945,0.43685,0.416,0.4913,0.4049,0.29795,0.4582,0.34635,0.3138,0.28105,0.35185,0.35535,0.31355,0.492,0.47985,0.59075,0.3607,0.58905,0.46875,0.426,0.3445,0.3552,0.45775,0.2709,0,0.3414,0.6408,0.36205,0.45795,0.4683,0.45745,0.34095,0.32865
OutsideFarm-10,0.35605,0.3768,0.4177,0.26895,0.4506,0.5207,0.4341,0.44785,0.33715,0.39555,0.42765,0.4096,0.29985,0.4477,0.26955,0.5405,0.338,0.47855,0.3788,0.516,0.6087,0.41535,0.40335,0.3817,0.3786,0.6237,0.3633,0.38615,0.5682,0.35485,0.2653,0.44385,0.28085,0.29635,0.31455,0.2826,0.2128,0.25445,0.51015,0.33435,0.5495,0.39835,0.56215,0.37135,0.35255,0.2785,0.3278,0.4994,0.2539,0.3414,0,0.6247,0.37325,0.5183,0.39045,0.53225,0.30705,0.2709
TxAntibiotic-10,0.54885,0.57085,0.5871,0.5545,0.69125,0.6341,0.53035,0.61425,0.5595,0.5993,0.5359,0.60385,0.6676,0.54485,0.55365,0.5984,0.5775,0.6237,0.58,0.58065,0.64955,0.5877,0.5935,0.61435,0.59095,0.6165,0.62625,0.52325,0.6069,0.61785,0.62495,0.5913,0.5878,0.5824,0.6568,0.57555,0.56685,0.6169,0.5909,0.5144,0.5997,0.60645,0.5945,0.6352,0.6752,0.5737,0.64085,0.5448,0.55595,0.6408,0.6247,0,0.7067,0.66815,0.61855,0.56855,0.60285,0.5814
OutsideFarm-5,0.46725,0.32385,0.52825,0.33675,0.3815,0.6051,0.36285,0.52065,0.37185,0.417,0.5192,0.47255,0.4202,0.43965,0.3749,0.53815,0.47655,0.4773,0.4874,0.3848,0.65635,0.3659,0.3851,0.3713,0.46385,0.5659,0.4456,0.42995,0.57385,0.41875,0.2762,0.37925,0.3381,0.408,0.3745,0.37515,0.3365,0.3604,0.5758,0.41535,0.63225,0.42375,0.57005,0.43385,0.3832,0.324,0.4415,0.53605,0.3739,0.36205,0.37325,0.7067,0,0.47365,0.437,0.556,0.4059,0.46255
Baseline-28,0.5012,0.5294,0.57705,0.5322,0.5645,0.6491,0.50285,0.57965,0.48115,0.4285,0.56365,0.48745,0.44665,0.51385,0.5187,0.49835,0.4999,0.46365,0.5496,0.5734,0.6484,0.5195,0.5037,0.43795,0.6174,0.66985,0.5617,0.5771,0.6623,0.48845,0.4496,0.5513,0.53775,0.5736,0.45025,0.49095,0.51605,0.46175,0.5781,0.65535,0.6682,0.54875,0.66295,0.4613,0.4292,0.51275,0.5132,0.5403,0.4621,0.45795,0.5183,0.66815,0.47365,0,0.5155,0.5517,0.4944,0.494
OutsideFarm-1,0.34105,0.4125,0.4561,0.3904,0.3159,0.5299,0.4145,0.41675,0.316,0.42605,0.44465,0.4048,0.37185,0.393,0.3296,0.5572,0.2357,0.3864,0.35685,0.38025,0.58705,0.48785,0.4565,0.3966,0.41185,0.49055,0.4759,0.4329,0.53385,0.29845,0.3586,0.40465,0.3218,0.2571,0.3333,0.4229,0.3551,0.33745,0.4445,0.382,0.56515,0.40955,0.5724,0.47635,0.34575,0.35125,0.33285,0.49515,0.3514,0.4683,0.39045,0.61855,0.437,0.5155,0,0.4822,0.408,0.2736
Baseline-4,0.4317,0.5119,0.3071,0.49255,0.63375,0.27575,0.4611,0.4333,0.4644,0.57165,0.277,0.513,0.4912,0.5256,0.53215,0.5589,0.4779,0.5158,0.5035,0.60985,0.61935,0.4742,0.52755,0.5949,0.5125,0.57195,0.5544,0.55035,0.6026,0.45135,0.45635,0.577,0.49265,0.474,0.4214,0.5501,0.5316,0.4546,0.22175,0.51145,0.71705,0.4203,0.6468,0.5902,0.5918,0.47215,0.4889,0.6216,0.4056,0.45745,0.53225,0.56855,0.556,0.5517,0.4822,0,0.54215,0.4346
OutsideFarm-8,0.29585,0.4221,0.53005,0.3606,0.4172,0.519,0.3501,0.4894,0.3666,0.4401,0.49325,0.33135,0.3021,0.3492,0.3864,0.4737,0.41665,0.3801,0.4394,0.43945,0.54375,0.35665,0.3566,0.41555,0.3074,0.57435,0.42345,0.37025,0.4723,0.4329,0.39605,0.41985,0.44085,0.35895,0.3601,0.3335,0.3586,0.29695,0.51745,0.46885,0.4779,0.4312,0.56405,0.41855,0.3129,0.3586,0.42565,0.55965,0.3941,0.34095,0.30705,0.60285,0.4059,0.4944,0.408,0.54215,0,0.40625
Baseline-3,0.29485,0.32205,0.39415,0.29345,0.42425,0.4591,0.33115,0.47285,0.3253,0.4394,0.41345,0.3806,0.40125,0.36645,0.23505,0.51235,0.29385,0.41385,0.24495,0.4876,0.55,0.3708,0.3802,0.3181,0.38925,0.5204,0.3726,0.39395,0.5815,0.3448,0.3609,0.41685,0.32145,0.2672,0.34435,0.2696,0.3037,0.24855,0.4115,0.3787,0.582,0.3371,0.55435,0.4352,0.39135,0.3766,0.4047,0.4533,0.2958,0.32865,0.2709,0.5814,0.46255,0.494,0.2736,0.4346,0.40625,0
