ECcode,OutsideFarm-11,TxAntibiotic-9,Baseline-26,Baseline-25,OutsideFarm-1,Neg-DNAextr,Baseline-17,TxAntibiotic-1,OutsideFarm-13,Baseline-9,TxAntibiotic-10,OutsideFarm-9,Baseline-24,Baseline-14,Baseline-1,TxAntibiotic-4,Baseline-32,Baseline-4,TxAntibiotic-8,Baseline-30,Neg-DNAextr,Baseline-15,OutsideFarm-2,Neg-DNAextr,Baseline-6,Baseline-33,Baseline-29,Baseline-2,Neg-DNAextr,Baseline-8,Baseline-19,Baseline-28,Baseline-18,Baseline-31,OutsideFarm-4,SequencingBlank,TxAntibiotic-3,Neg-DNAextr,TxAntibiotic-5,Baseline-23,TxAntibiotic-6,Baseline-22,Baseline-27,TxAntibiotic-7,Baseline-12,Baseline-21,Neg-DNAextr,Baseline-20,OutsideFarm-5,Baseline-16,OutsideFarm-7,Kefir,OutsideFarm-6,Baseline-5,OutsideFarm-10,Baseline-13,Baseline-7,OutsideFarm-12,Baseline-3,TxAntibiotic-11,OutsideFarm-8,TxAntibiotic-12,TxAntibiotic-2,OutsideFarm-3,Baseline-10,Baseline-11
1.1.1.3,7634.3,3433.7,2304.9,5994.7,5946.4,168.7,9361.9,4314.6,18373,6751,7565.4,13862,7510.3,4494.3,6178.2,3592.6,6593.1,10757,3306.1,5914.2,534.98,2159.7,4507.1,133.02,4971.3,3416.9,6486.6,4382.7,109.38,7892.7,3233,12051,3297.6,5665,4783.3,107.53,5898.2,160.83,6130.4,3390.1,3584.1,3124.4,10927,4952.7,6065.6,7473.6,146.16,5002,4547.3,7971.3,6059.9,1.96E+05,5644.6,6946.3,3828.7,10368,4535.9,3657.9,5049.4,2687.9,3920.3,4277.3,6933.9,5054.4,5114.6,5049.9
2.3.1.117,3072.5,2568,551.95,2301.9,2119.9,65.873,3179.1,1642.3,4108.2,2697.5,2850.7,5474.3,2283.9,1861.9,2576.8,1594.6,2543.9,4614.5,1078.9,2336.9,161.21,740.73,1959.3,56.037,2111.7,1028.2,2696.1,1923.1,41.263,3469.1,1133.9,4121.1,1131.5,1188.4,2073.6,36.511,2231.9,46.565,2557.1,1065.5,1279.6,1103.5,4037,1461.7,2449.6,2978.5,42.092,1926.2,1718.3,3111,1713.8,52548,2174.7,2813,1530.7,4454.5,1949.9,1123.3,2149,835.33,1411,1752.7,2774.1,2171.7,2332.5,2042.8
2.3.1.12,20357,17542,6389.4,16518,15777,394.12,41672,12098,30390,19459,27905,36284,24236,12890,16810,11551,18589,28177,6799.4,16537,1299.7,4774.3,14760,459.5,14213,11100,18952,13236,376.94,22672,7741.1,38580,8196.4,22492,16194,630.65,17423,603.13,17669,6791.6,7987.1,7448.3,37299,22169,19579,27756,500.55,13890,12184,20725,24405,2.98E+05,15268,20142,12074,28809,13558,8087.6,15043,7776.3,8936.3,11471,19861,16807,15770,14819
2.3.1.129,4092.5,1066.8,737.79,3189,3411.2,52.475,3284.6,2643.2,7563.6,3666,2443.8,6156.4,2445.4,2231.8,3527.7,2041.3,3830,5473.4,1370.7,3356.1,184.72,961.82,2858.2,79.572,2796,1352.3,3947.6,2778.3,45.724,4054.2,1648.1,4938.7,1574.6,1422.2,3108.7,52.001,3487.1,72.066,3212.6,1499.2,1551.7,1778.7,4110,1470.5,3419.1,2523.6,48.917,2598.4,2416.6,3935.2,2427.1,52709,3205.4,4074.1,2593.7,5016.2,2907.3,1461.4,3111.3,915.84,1905.9,1613.9,4032.6,3218,2902.6,3053.5
2.3.1.15,4367.1,2376.5,1551.7,3907.2,3721.6,107.18,6047.2,2790.3,9231.8,4210.7,5382.4,9734.6,4662.5,2986.3,3800.4,2440.5,3976.8,8020.5,2142.1,3397.9,332.49,1367,3132.9,101.99,3118.3,2154,3700.3,3135.7,76.95,5623.4,2159,10043,2376.1,3506.2,3181.2,65.278,3773.5,96.457,4081.2,2252.2,2377,1954.5,6865.7,3156.7,3906.1,4540.5,91.009,3389.5,2840.9,5234.8,4154.3,1.16E+05,3461.4,4508,2544,6989.4,3177,2306.4,3269.2,1719.9,2634.6,2548.8,4454,3457.8,3335.5,3498.2
1.1.1.100,4062.1,1302.9,980.08,3415.3,3162.6,79.076,4455,2195.1,12387,3513.6,3440.9,10059,2975,2551.7,3407.9,1929.5,3489.7,7573.6,1621.7,2939.6,263.8,1035.9,2722.7,87.261,2667.5,1499.3,3442.1,2588.1,33.981,5556.8,1747.8,5939.4,1765.3,1870.9,3026.3,59.036,3220.2,64.544,3545.5,1523.3,2037,1506.4,5229.1,2108.2,3260.7,3167.2,81.554,2539.9,2357.6,5223.5,2796.1,1.05E+05,2951.5,3746.9,1991.6,7088.5,2608,1552.9,2804.4,1218.5,2043.7,2338.6,4029.5,3062.7,2937.9,2665.4
1.1.1.302,5.3127,0,2.0831,2.1326,2.1283,1.0543,11.618,0,19.926,0,4.1746,0,2.1099,3.195,0,2.1321,1.0639,4.2928,1.0607,1.062,0,1.0592,1.0698,0,0,1.0507,1.066,3.2084,0,0,3.1894,2.1062,1.0641,10.423,0,0,1.0652,0,2.1345,2.1142,1.0626,0,5.2522,2.0946,6.3893,0,0,1.0667,6.3806,4.3018,2.1118,303.25,3.2035,1.0672,1.0662,1.0739,1.0693,0,1.0675,6.2972,0,2.1154,5.3527,0,1.0691,1.0679
2.3.1.16,1227.6,391.71,255.26,1259.3,949.3,26.796,1594.5,718.21,2377,1255.5,1170.8,3319.6,1116.3,867.99,1130.1,700.03,1053.5,2514,532.69,852.87,51.497,347.92,956.49,28.018,860.74,486.64,1049.6,935.51,7.8065,1901,551.64,2543.1,591.19,646.63,946.78,17.702,903.35,14.413,1162.3,498.21,710.37,532.02,1856.9,561.7,1102.8,971.54,23.89,951.78,742.37,1871.8,958.17,17074,1078.3,1236.3,694.74,2440.3,820.3,518.29,939.71,372.37,734.33,665.36,1184.9,929.77,998.51,995.94
2.3.1.168,211.03,51.426,57.098,206.48,190.76,2.233,330.9,149.3,907.68,240.71,161.22,701.46,245.1,149.77,214.07,147.02,184.05,523.99,110.83,300.88,27.987,48.259,192.2,6.7244,169.66,98.674,279.14,157.24,3.3457,373.84,92.884,546.88,99.474,54.614,158.55,1.1064,215.4,2.2174,266.49,112.1,151.41,75.52,339.97,98.544,175.14,176.24,5.6881,204.84,146.67,351.11,134.66,8454.9,177.83,229.91,129.91,464.82,142.76,100.28,183.88,86.105,134.44,158.09,222.02,238.66,194.94,198.06
1.1.1.304,694.9,277.03,233.3,502.22,633.16,12.652,769.95,395.14,7074.9,480,865.18,1399.7,699.44,357.84,545.95,304.89,590.48,983.06,256.68,543.74,96.023,166.29,362.67,7.4491,387.17,230.1,632.13,373.25,13.805,800.11,327.44,1378.5,302.2,343.96,489.78,9.4879,525.16,17.988,547.51,234.68,284.77,233.72,1036.8,498.52,465.36,748.2,10.591,385.09,433.88,828.1,514.23,48291,398.31,613.63,297.46,1006.2,382.81,249.69,413.13,287.57,445.11,428.37,566.32,424.58,463.99,376.96
2.3.1.169,180.4,65.651,50.38,117.99,133.2,3.3495,220.97,70.124,576.29,124.31,246.83,165.92,147.06,102.12,163.37,66.723,159.21,127.58,104.05,144.78,6.717,46.015,72.359,5.6037,97.272,82.976,137.3,76.922,0,106.81,73.628,189,67.823,124.52,108.72,3.3192,129.69,2.2174,106.59,88.32,78.55,60.867,212.06,111.68,125.42,157.52,0,76.957,75.591,116.28,123.53,3197.9,103.07,110.45,68.909,148.1,73.646,96.898,95.889,65.976,97.158,88.714,100.82,92.751,87.27,104.12
2.3.1.174,1737.1,425.63,345.95,1480.5,1309.4,27.912,2164.2,1096,4726,1639.7,1015.1,5284.4,1341.4,1239,1323.9,887.76,1656.4,3812.6,694.41,1245.4,92.918,398.42,1232.4,45.95,1125.4,541.58,1488.7,1187.8,14.498,2918,710.22,3515,834.23,582.19,1163.1,21.022,1224.8,18.848,1738.4,669.19,874.3,613.18,2143.1,652.58,1484.7,1937.6,25.027,1284.5,1119.2,2648.2,1247.5,35416,1285.6,1937.3,883.39,3506.7,1194.2,540.83,1257.8,512.15,855.22,1140.8,1792,1296.3,1402,1338.9
2.3.1.178,677.35,284.49,156.74,549.09,514.72,17.864,788.38,383.42,1277.3,605.72,493.65,1370.9,785.43,408.46,599.41,348.32,602.96,981.91,235.24,512.4,41.421,173.96,477.12,15.69,444.51,280.32,520.83,418.55,13.383,737.44,289.98,978.56,255.47,357.18,408.84,8.8512,512.01,15.522,602.15,275.15,305.09,296.44,941.38,365.71,561.56,463.74,11.376,460.61,370.06,683.99,503.01,12010,548.21,693.11,371.66,898.88,422.61,287.31,486.21,216.94,385.24,403.76,611.69,476.2,513.42,461.75
2.3.1.180,15389,5052.9,3737.1,12536,12520,323.78,14598,9030.2,29771,13634,11513,28897,11367,9276.7,13280,7691.3,13946,23806,5964.7,11781,851.94,3850.7,10556,292.51,10087,5802.7,13963,9850.6,218.58,16876,6173.4,20326,6509.9,7161,11250,229.02,12424,310.44,12758,6057.8,6223.7,6136.3,17900,6567.4,13414,12045,257.1,10169,9395.8,17405,9115.4,2.87E+05,11808,15162,8565.1,21706,9951.2,6085.4,10935,4114,7472.1,7192.7,13998,11484,10561,10598
2.3.1.181,3308.5,1188.3,962.83,2540.1,2628.9,73.689,3715.4,1947.6,7218.8,2943.9,3482.3,6717.1,2719.5,2043.5,2733.4,1690.7,2851.1,5065.6,1471.4,2330.1,179.12,906.83,2043,65.002,2152.4,1428.5,2965,2055.4,42.378,3850.8,1376.3,5615.3,1469.5,2229.4,2130.3,60.852,2549.9,56.544,2937,1462.9,1484.5,1328.9,4472.4,1806.6,2888,2908,59.156,2279.3,1948.4,3826.9,2513.9,74705,2318.6,3082.4,1603,4861.2,1972.6,1437.7,2180.6,1029.9,1754.5,1902.8,3151.3,2392.3,2330.2,2257.8
2.3.1.182,1814.2,680.58,473.58,1385.2,1435.8,37.961,2195.3,1129.9,3881.2,1516.6,1643.3,3405.4,1541.9,1015.5,1473.7,910.37,1566.1,2941.2,784.89,1348.3,170.16,518.51,1065,20.173,1168.4,670.53,1329.9,1086,21.189,2001,744.21,2601.3,824.05,978.69,1112.1,17.702,1428.9,25.5,1462.8,705.43,798.03,704.48,2090.3,1068.7,1421.4,1320.7,21.615,1252.8,1185.8,1992.7,1377.7,59674,1256.1,1663.5,937.62,2332.1,1180.6,758.28,1299.6,420.46,898.15,903.06,1658.4,1305.3,1276.2,1225.7
2.3.1.184,2246.5,1226.6,660.54,1662,1616.4,35.728,2713.8,1214.7,5184.3,1992.3,2130.3,2827.6,2185.8,1404.7,1768.9,1031.4,1939.8,2667.8,817.69,1740.8,147.77,581.36,1308.1,48.191,1412.7,1022.6,1905.2,1311.1,45.724,1830.5,988.88,3519.5,863.62,1507.4,1397.5,24.341,1803.3,37.696,1698.7,873.01,980.17,917.51,3341.4,1259.2,1870,2128.1,31.853,1380.7,1279.4,1928.8,1803.9,58774,1540.4,2020.7,1067.5,2385.6,1364.1,901.38,1434.9,665.35,1226.9,1188.5,1835.1,1366.4,1507.4,1386.4
2.3.1.199,139.56,96.287,101.88,131.6,152.39,1.1165,176.55,96.138,263.99,158.21,226.81,218.56,189.4,100.98,155.49,82.556,126.46,233.52,88.215,149.31,6.717,59.483,128.89,3.3622,97.272,125.58,145.24,95.022,2.2304,181.8,60.035,287.42,84.779,215.18,109.85,1.1064,130.82,2.2174,112.26,86.055,86.519,85.665,276.02,173,154.8,160.82,3.4128,104.12,111.69,156.18,151.35,2624.1,158.57,148.77,92.632,199.37,96.306,128.45,104.91,76.04,96.028,113.74,152.92,105.19,113.34,95.067
2.3.1.20,11243,2898.5,2136.1,9510.4,8562.9,208.78,11348,6394.9,14791,10565,7044.6,26695,8430.3,7350.1,9792.2,5679.4,10825,20004,4482,8822.8,658.27,2502.8,7675.7,243.2,7685.6,3682.3,10819,7209.2,152.78,15035,4349.7,16598,4505.7,3781.5,8709,132.77,9156.4,213.98,10326,3863.4,4916.8,4232.5,12882,4124.6,10162,7793.3,180.88,8018.3,6830.2,14145,6791.7,2.08E+05,8629.8,11510,6204.1,18830,7348.7,3789.2,8080.6,2899.6,5174.2,6304.4,11445,8762.7,8230.6,8115.8
1.1.1.309,178.51,88.523,70.824,199.4,164.94,3.163,228.13,154.44,413.21,162.13,223.34,449.72,190.95,125.67,153.55,99.142,148.95,292.99,115.61,179.48,16.883,64.61,111.26,4.2566,139.72,118.73,156.7,101.6,3.1857,211.57,75.482,350.68,68.102,241.82,90.897,3.1626,160.85,7.4067,147.28,94.082,74.38,73.304,226.89,252.4,142.7,258.51,2.1183,139.74,125.49,228,163.67,7409.2,134.55,189.96,104.49,317.86,102.65,102.19,103.55,70.319,121.58,120.58,153.09,116.28,127.22,135.62
1.1.1.31,3164.2,919.6,1084.2,2626.3,2284.7,42.174,3523.4,1818.1,4406.8,2730.7,1755.4,6558.6,1635.2,1920.2,2609.3,1534,2632.1,4836.9,1200.7,2991.6,98.133,828.28,2036.9,65.978,2136.4,1170.5,3021,2026.7,38.228,3608.6,1351.2,3665.8,1352.5,910.98,2323.8,44.277,2354.2,68.777,2766.4,1311.9,1383.5,1299.3,3009.5,1567.8,2504.6,1630.9,57.194,2270,1711.1,3627.5,3002,28676,2537.2,2898.5,1973.5,4842,2084,1263.2,2254.6,538.41,1583.8,1299.9,2976.1,2442.9,2288.9,2324.7
2.3.1.222,866.83,317.31,281.01,707.92,713.39,17.864,1219.2,512.36,1460.4,786.53,1239.7,1417.8,841.14,557.1,737.99,485.16,750.87,1165.3,381.14,652.66,71.648,294.05,583.39,19.052,533.86,427.21,771.6,573.52,12.267,802.21,400.99,1534.4,378.68,837.78,629.68,18.809,711.63,9.9783,690.6,331.77,404.14,378.73,1545,671.19,780.77,834.95,20.477,624.71,538.16,835.6,851.33,25536,627.5,799.05,466.55,1017.4,549.51,427.03,586.61,335.47,508.38,439.02,811.06,642.47,597.29,645.1
2.3.1.243,702.31,316.22,289.97,660.27,682.91,25.679,1082.6,434.32,1758.1,751.5,1008.4,1479.6,836.68,529.87,698.56,497.6,599.57,1044.6,386.79,609.68,62.692,267.11,526.86,16.811,495.41,437.3,722.81,539.59,12.267,873.8,357.94,1677.5,393.37,728.55,580.98,11.064,655.24,9.9783,674.72,401.97,465.61,370.84,1108.6,528.85,681.33,818.43,13.651,582.84,507.7,880.06,689.97,21066,594.65,750.59,449.6,1048.1,503.06,432.66,551.64,362.31,480.14,414,702.31,537.28,604.09,521.74
2.3.1.247,4011.9,1208,744.51,3273,3011.6,77.038,3828.7,2366.1,7680.5,3511.2,3329.9,8041,2940.1,2575.6,3368.9,2045.8,3730.7,6523.7,1599.2,3513.3,163.45,978.66,2754.2,79.572,2637.6,1457.7,3429.1,2533.9,69.143,4737.1,1692.3,5208.2,1648.1,1942.1,3114.4,57.533,3244.6,66.522,3433.7,1469.7,1712.2,1591.6,4484.7,1557,3554.7,2432.2,64.844,2668.6,2350.1,4729.8,2373.7,51545,3024.2,3861.1,2210.7,6112.1,2641,1553.7,2743.5,966.16,2051.6,2059.8,3906.9,3069.8,3064.7,2737.7
2.3.1.29,1463.6,425.63,381.77,947.3,941.4,29.029,1873.2,680.88,3586.9,1190,1353.1,2551.8,1271.2,787.43,1161.6,644.61,1174.3,1691.6,583.58,1074.6,82.843,360.26,866.05,34.743,781.57,609.98,1324.2,873.3,17.843,1302.2,519.93,2080.1,653.36,623.69,852.78,25.447,920.26,33.261,1107.9,505.01,651.17,509.48,1920.9,671.19,988.67,1124.7,28.44,926.88,716.42,1268.8,905.86,27669,948.04,1163.1,669.89,1817.1,806.7,635.47,863,563.59,784.04,897.38,1315.1,946.74,944.1,952.93
2.3.1.30,6746.3,2408.3,1768.9,4955.4,5327.8,123.93,7135.4,3854.6,14008,5534,5985,10517,5328.7,3784,5265.1,2991.2,5522.6,8872.5,2488.1,4646.7,478.03,1731.7,4054.4,132.25,4200.8,2961.3,5863,3750,98.139,6158.6,2594,9180.6,2632.7,4062.2,4416.8,95.15,5208.1,131.94,4965.7,2579.4,2678.7,2522.6,7987.7,3991,4964.8,5654.1,111.49,4074.2,3799.8,6179.8,4591.6,1.73E+05,4603.2,5952.9,3489.5,7993.1,3852.2,2840.5,4347.7,1915.5,3292.1,3384.8,5553.9,4497.3,4159.5,4359.5
2.3.1.31,1005.3,246.19,171.29,783.93,737.09,23.446,1089.3,589.27,1246.9,812.53,614.84,1779.4,613.86,621.77,864.18,514.56,792.65,1414.8,356.25,840.43,34.704,283.95,565.3,14.569,798.53,371.15,1003.1,597.28,6.6913,1174.9,472.35,1118.4,419.37,377.93,593.44,17.702,819.89,13.304,842.55,390.65,431.46,384.36,1274.6,471.92,763.82,704.98,5.6881,662.06,509.95,1069.3,612.07,8838.6,656.95,989.52,558.05,1338.6,699.07,344.78,656.55,262.79,422.52,518.64,821.25,663.96,675.49,622.46
2.3.1.37,865.7,363.27,273.17,889.44,741.61,14.514,1203.7,599.45,1917.6,950.4,1054,1660.4,1006,709.14,905.87,555.27,949.6,1422.7,355.12,775.95,40.302,244.66,733.76,21.294,685.43,427.21,976.98,760.17,11.152,935.16,428.17,1370,509.8,626.97,629.68,22.128,826.66,19.957,942.34,437.07,470.16,379.85,1454.1,524.47,941.21,765.56,22.752,794.47,560.72,1016.9,761.19,14644,797.4,1060.5,528.68,1302.2,648.08,395.48,715.22,361.19,607.8,551.62,1082.9,787.25,828.5,700.55
2.3.1.39,8753.4,3751.9,2614.2,6939.7,7067.3,189.8,10795,5004.8,18378,7743.3,8680.1,16287,8082.7,5574.4,7153.5,4432,7586.6,12668,3677.9,6230.2,656.03,2459,5627,172.59,5758.3,3872.9,8012.1,5290.7,121.56,9619.7,3634.9,13981,3756.3,5750.9,6100.8,132.77,7164.8,190.7,7230.3,3755.9,3992.4,3482.9,11840,5638.9,7450.6,8453.1,136.51,5649.6,5448.2,9189.4,7261.4,2.39E+05,6850.4,8524.7,4442.9,12123,5337.6,3799.3,5901.1,2854.9,4667,4625.6,8276,6139.7,6005.8,5768.5
2.3.1.47,4144.7,1308.6,849.75,3724.5,3268.9,75.922,4379.4,2677.2,8446.6,4079.6,3334.4,9671.7,3549.5,2617.6,3895,2224.5,3975.7,7247,1618.4,3632,200.39,1037,3116,87.417,3098,1558.6,4339.1,2659.5,69.143,5340.5,1651.5,5572.8,1710.3,1915.9,3149.5,46.469,3492.7,78.718,3882.8,1636.2,2071.9,1746,5159.1,1757.4,3786.3,3583.3,64.844,2969.7,2521.6,5253,2784.4,55467,3434.2,4398.7,2506.7,7136.3,2860.9,1673.2,3036.8,1186.5,2120.5,2250.8,4411,3497.4,3218.8,3137.2
2.3.1.5,4367.1,1711.3,1135.2,3550.9,3199,81.504,4825.8,2492.8,12022,3882.9,4098.2,7583.3,3811.3,2616.4,3597.6,2066.2,4076.2,6393.8,1775.6,3575.5,190.31,1199.8,2789.2,85.176,2747.4,1902.8,3930.6,2599.5,75.835,4766.7,1763.7,7193.3,1876.4,2870.5,2951.3,55.32,3404.8,95.348,3608.3,1816.2,2089,1723.4,5723.4,2440.6,3624.7,4223.2,84.183,2833.8,2396.3,4665.9,3181.6,74184,3125,3999.8,2187,5867.2,2561.7,1999.9,2819.1,1272.6,2336.3,2460.1,3910.3,3015.5,2869.7,2884.8
2.3.1.51,961,594.14,424.32,852,930.12,17.864,1534.6,565.52,3902.6,900.67,1246.4,1905.3,1117.4,722.75,847.28,510.04,932.66,1511.6,496.49,783.87,119.79,351.28,691.93,25.777,587.02,657.08,900.96,649.32,23.42,1098.8,541.45,1762.5,473.63,1026.7,745.19,9.9576,817.64,24.391,894.72,509.54,553.27,419.31,1754.8,868.28,839.52,1292.1,13.651,701.67,650.98,1105.8,941.47,45757,800.8,983.88,471.07,1407,609.56,556.6,705.06,421.58,671.07,691.52,1009.3,697.9,689.09,757.14
2.3.1.54,5028.5,2106.3,2020.8,3427.3,4216,118.35,6619.1,2546,19477,3998.2,6160.6,6634.7,5305.3,2661.8,3964.9,2274.2,4016.3,5384.6,2117.2,3301.8,792.61,1407.4,2900,99.745,2837.8,2382.7,3752.5,2705.9,65.798,4021.3,1943.8,7989.5,2048.3,3938.8,2775.8,88.512,4100.6,95.348,3618.6,2203.5,2185.8,1864.3,7471.6,3565.1,3671.1,5903.1,96.697,3043.2,3337.3,3922.7,3921.7,3.60E+05,3174.9,3998.6,2218.6,5272.5,2583.3,2313.2,2878.9,1722.1,2574.7,2621.6,4065.5,2934.1,2840.2,2942.5
2.3.1.57,457.24,87.534,90.685,410.68,378.14,3.3495,551.87,287.28,875.1,436.21,400.26,1226.7,445.64,255.29,397.73,254.45,329.71,889.64,222.8,275.99,22.39,94.274,319.96,8.9658,318.96,192.86,374.45,313.35,12.267,694.27,182.37,743.71,230.6,244.67,397.51,6.6384,393.59,11.087,407.1,180.04,202.64,161.18,584.57,221.18,392.08,338.17,11.376,336.12,274.16,665.75,361.68,4515.5,380.58,553.36,242.88,822.55,375.03,225.34,337.3,146.49,207.87,211.55,466.7,446.79,301.48,350.84
2.3.1.61,4759.6,1324,799.37,3768.8,3174.1,104.95,4860.2,2370.7,12378,4011.8,3324.4,11789,3531.7,2970.4,3531.1,2307,3971.2,8509.1,1820.9,3481.6,246.29,1077.4,3070.7,115.44,2991.7,1375.8,3961.3,2797.5,49.07,6245,1716.1,6696.7,1927.3,1555.4,3191.4,67.49,3376.6,79.827,4157.2,1607.9,2107.2,1686.2,5264.5,1768.3,3924.2,3610.8,81.908,2983.2,2563.3,5877.7,2799.9,73090,3373.1,4446.1,2206.2,8072.8,2752.1,1517.7,3014.3,1269.2,2130.7,2818.4,4476.7,3470.3,3539.5,3149.7
2.3.1.74,1.1346,0,1.1196,2.269,2.2576,0,0,1.131,1.1234,2.2602,1.1118,3.4329,1.1141,4.5385,1.1267,1.1309,2.2583,4.5564,2.2619,7.9179,0,1.1223,2.2612,0,9.0485,1.1213,1.1347,0,0,0,0,2.2367,0,2.1846,2.265,0,0,0,6.8039,0,1.1384,0,0,0,4.5196,1.1015,0,4.5269,0,4.5599,2.2257,0,3.398,1.127,1.1297,3.4178,2.266,0,0,0,0,1.1374,0,5.6556,1.1334,0
2.3.1.8,9248.1,3524.3,2894.1,7382.1,7596.7,221.07,11063,5292.1,24016,8302.7,8923.5,18411,8988.5,5974.9,7951.2,4672.9,7940.1,14658,4021.7,6872.7,779.17,2675.6,5960.6,212.94,6001.4,3997.4,8096.1,5788.4,134.94,10050,3926.1,13850,3975.6,5967.2,6304.7,131.66,7471.5,181.83,7615.9,4105.7,4528.6,3701.6,13568,5637.8,7841.6,9505,166.09,6216.6,5651.2,10047,7310.3,3.10E+05,7195.8,8696,4720.8,13500,5853.1,4236.5,6254.2,3229.5,4853.4,5300.1,8145.7,6629.4,6437.6,6615.1
2.3.1.89,732.95,385.15,284.37,465.14,679.53,18.98,1078.2,464.86,3291.5,663.36,842.77,1087.1,795.46,399.39,638.84,356.23,618.76,935.21,378.87,530.5,122.03,217.73,399.1,17.932,445.64,381.24,654.72,395.92,12.267,691.99,314.9,1525.4,279.21,477.33,520.96,17.702,631.55,12.196,525.04,270.62,297.13,304.33,1018.8,581.41,548,808.52,13.651,460.61,518.98,726.17,553.09,45486,483.65,625.49,373.92,857.87,399.95,380.83,487.34,241.54,380.72,367.37,581.11,467.15,388.75,427.8
2.3.1.94,3.4038,3.2825,0,4.538,3.3863,0,3.3312,1.131,2.2467,1.1301,2.2237,8.0101,1.1141,4.5385,5.6335,1.1309,3.3874,3.4173,0,3.3934,0,0,2.2612,0,7.9175,1.1213,2.2694,4.5248,0,7.9539,1.1327,2.2367,3.3912,2.1846,2.265,0,1.1278,1.1087,6.8039,0,1.1384,2.2543,5.6101,0,6.7794,5.5076,0,3.3952,3.3847,2.28,10.016,6.7112,3.398,11.27,0,12.532,4.532,2.2534,3.3843,1.1182,2.2595,1.1374,9.0621,3.3933,0,4.527
2.3.2.19,492.36,215.92,146.51,328.23,376.83,12.217,608.28,309.7,1236.9,417.01,483.24,822.47,439.94,200.78,350.66,236.58,397.99,699.8,241.31,377.15,21.385,162.91,304.86,6.1329,308.95,207.76,395.44,244.72,2.0411,548.86,174.26,1403.3,215.01,336.47,388.5,11.187,338.5,7.1329,304.83,226.15,223.36,202.75,638.07,341.05,375.21,492.82,11.244,315.03,279.14,521.76,311.01,9655.2,314.13,390.06,258.96,695.67,235.44,226.12,268.15,192.53,266.97,282.32,395.71,309,317.11,303.71
2.3.3.10,1771.5,846.37,673.56,1166.6,1377.5,34.614,2210.6,901.09,7479.7,1578.4,1844.2,2668.4,1715.9,1007.5,1421.2,804.68,1538.4,2147.9,766.26,1399.7,195.69,464.72,1001.9,36.798,1090.8,871.42,1550,964.72,30.617,1560.8,704.49,3042,672.95,1524.9,1053.4,27.575,1366.9,32.608,1286.7,739.59,803.12,731.46,2728,1380.5,1335.4,2351.3,23.509,1053.1,1082.6,1646.2,1397.6,80392,1208.1,1455.9,743.64,2215.5,972.76,886.41,959.16,727.04,986.71,1011.3,1532.7,987.22,1121.1,1013.6
2.3.3.13,7635.6,2929.2,2131.6,5913.6,5807.6,140.49,8686.2,4120.1,20384,6579.1,7545.8,13952,6588.9,4593.8,6454.5,3598.1,6728.5,11541,3287.5,5613.2,541.2,1998.5,4891.4,146.17,4826.4,3164.6,6980.2,4528.6,111.24,8064.1,3027,11988,3081.3,4668.3,5328.3,120.51,5760.5,135.53,6146.6,3059.3,3425.7,3022.8,9845.9,4621,6532,7407.4,151.28,4905.1,4527.2,7922.7,5597.4,2.15E+05,5462,7071.5,3656,10519,4490.6,3186,4933.5,2388.1,4172.1,4413.2,7115.5,5555.8,5246.5,4760.9
2.3.3.14,450.77,161.94,125.15,389.55,363.74,15.271,648.48,284.39,605.3,424.46,400.42,775.64,375.64,317.13,388.43,214.17,400.18,556.87,203.04,408.08,44.845,145.74,383.64,8.1772,284.68,201.8,405.86,299.12,10.206,470.28,186.57,567.31,216.16,285.67,306.22,8.1703,402.94,10.19,340.06,183.62,227.57,192.81,612.24,313.56,380.51,594.95,14.31,327.55,283.4,434.76,334.6,12535,304.07,465.93,204.02,593.39,251.86,217.02,317.34,112.17,257.89,257.92,453.07,448.18,297.88,315.42
2.3.3.15,263.12,113.05,61.048,224.35,211.93,5.0904,283.46,175.32,495.25,249.98,259.82,793.99,163.32,174.37,242.64,127.48,220.51,565.03,133.66,191.8,19.365,75.415,222.43,7.1551,190.81,131.48,276.35,162.32,7.1439,444.78,115.21,696.11,141.73,143.34,206.19,2.0426,227.48,3.057,224.66,111.19,165.32,125.48,428.26,138.46,244.83,338.23,4.0886,214.29,176.36,399.04,199.94,6778,205.09,329.31,127.51,572.99,210.05,141.62,230.61,75.457,151.88,138.64,267.35,177.64,212.19,209.26
2.3.3.8,0,0,0,0,0,0,0,0,1.019,1.0203,0,0,0,1.0197,2.039,0,2.0417,1.0199,0,0,0,0,0,0,1.0204,0,0,1.0209,0,0,0,1.0222,1.0196,0,0,0,1.0201,0,0,0,0,0,0,0,0,0,0,0,3.0582,0,0,1.0173,3.0611,1.0195,1.0201,0,1.0197,1.0189,0,0,0,0,1.0204,1.0209,1.0201,1.0208
2.3.3.9,5578.5,2014.6,1454,4672.5,4357.8,117.08,6639.8,3290.4,11920,5005.7,5440.8,12190,5600.8,3728.1,4896.7,2960.7,4820.5,9553.5,2487.5,4212.4,366.91,1632.6,3775.2,136.97,3688.7,2352.3,4982.5,3620,62.254,6937.9,2433.6,10032,2537.8,3245,4086,85.788,4412.9,136.54,4860.9,2368.7,2685.9,2199.5,7903.9,3004.3,4869.1,4988.8,109.37,4039.8,3417.1,6777.6,4463,1.24E+05,4218.1,5593.2,2876.6,8778.4,3516.8,2348.5,4004,1901.7,2942.8,3164.4,5379.7,4218.4,3968.3,4058.6
